TotalHeight,ShoulderWidth,ChestWidth ,Belly ,Waist ,Hips ,ArmLength ,ShoulderToWaist ,WaistToKnee ,LegLength
132.08,45.72,50.8,45.72,35.56,55.88,55.88,63.5,63.5,55.88
142.24,55.88,43.18,45.72,53.34,63.5,71.12,58.42,63.5,50.8
134.62,45.72,40.64,35.56,25.4,38.1,53.34,45.72,35.56,45.72
114.3,50.8,45.72,27.94,48.26,35.56,60.96,53.34,50.8,53.34
119.38,35.56,45.72,33.02,27.94,76.2,63.5,55.88,81.28,33.02
152.4,48.26,45.72,35.56,40.64,45.72,50.8,60.96,53.34,48.26
124.46,43.18,40.64,43.18,30.48,71.12,58.42,63.5,35.56,45.72
147.32,38.1,48.26,43.18,58.42,68.58,48.26,48.26,48.26,48.26
101.6,40.64,50.8,45.72,55.88,45.72,38.1,66.04,50.8,48.26
139.7,50.8,71.12,45.72,231.14,43.18,40.64,53.34,53.34,48.26
127,71.12,43.18,38.1,53.34,76.2,43.18,63.5,45.72,43.18
124.46,53.34,45.72,30.48,45.72,68.58,45.72,43.18,48.26,50.8
149.86,48.26,43.18,43.18,50.8,53.34,50.8,50.8,45.72,55.88
119.38,43.18,45.72,45.72,60.96,71.12,58.42,55.88,43.18,60.96
129.54,53.34,43.18,40.64,45.72,48.26,48.26,68.58,43.18,48.26
144.78,38.1,50.8,27.94,50.8,45.72,48.26,71.12,43.18,45.72
152.4,50.8,40.64,22.86,63.5,55.88,48.26,48.26,63.5,38.1
149.86,45.72,53.34,30.48,48.26,53.34,38.1,50.8,53.34,50.8
121.92,40.64,71.12,45.72,43.18,58.42,40.64,68.58,58.42,22.86
106.68,38.1,45.72,38.1,45.72,60.96,50.8,63.5,43.18,33.02
124.46,45.72,45.72,38.1,48.26,48.26,58.42,48.26,45.72,53.34
111.76,48.26,40.64,43.18,50.8,50.8,60.96,55.88,48.26,50.8
114.3,53.34,40.64,45.72,55.88,76.2,38.1,50.8,63.5,22.86
137.16,55.88,43.18,35.56,60.96,48.26,55.88,45.72,53.34,33.02
144.78,48.26,43.18,38.1,40.64,50.8,45.72,66.04,53.34,53.34
152.4,40.64,45.72,43.18,38.1,53.34,48.26,48.26,53.34,50.8
144.78,43.18,43.18,48.26,45.72,58.42,38.1,43.18,53.34,45.72
147.32,45.72,45.72,25.4,43.18,60.96,50.8,71.12,50.8,53.34
114.3,38.1,50.8,35.56,55.88,53.34,63.5,68.58,58.42,48.26
129.54,35.56,50.8,45.72,48.26,76.2,60.96,63.5,50.8,50.8
78.74,50.8,45.72,43.18,45.72,88.9,50.8,50.8,40.64,76.2
76.2,55.88,40.64,30.48,45.72,76.2,43.18,68.58,27.94,78.74
83.82,50.8,50.8,35.56,45.72,53.34,50.8,71.12,30.48,53.34
152.4,48.26,40.64,38.1,48.26,53.34,43.18,60.96,30.48,71.12
114.3,53.34,40.64,38.1,50.8,53.34,45.72,43.18,30.48,99.06
119.38,55.88,45.72,43.18,33.02,50.8,48.26,45.72,33.02,68.58
121.92,48.26,45.72,45.72,27.94,58.42,50.8,48.26,35.56,71.12
101.6,53.34,48.26,45.72,27.94,60.96,48.26,50.8,45.72,55.88
121.92,40.64,40.64,48.26,30.48,71.12,48.26,53.34,45.72,53.34
121.92,43.18,43.18,48.26,33.02,50.8,48.26,40.64,43.18,50.8
152.4,43.18,43.18,30.48,33.02,71.12,45.72,48.26,43.18,68.58
139.7,43.18,43.18,30.48,45.72,50.8,50.8,45.72,45.72,43.18
129.54,43.18,55.88,25.4,45.72,53.34,58.42,43.18,40.64,45.72
132.08,45.72,55.88,27.94,35.56,58.42,55.88,43.18,45.72,48.26
134.62,50.8,50.8,27.94,35.56,48.26,50.8,43.18,45.72,76.2
149.86,50.8,53.34,33.02,35.56,45.72,53.34,45.72,43.18,50.8
127,53.34,50.8,33.02,33.02,48.26,50.8,45.72,45.72,71.12
127,40.64,40.64,35.56,38.1,45.72,48.26,48.26,50.8,68.58
99.06,40.64,35.56,48.26,40.64,48.26,48.26,50.8,53.34,53.34
144.78,35.56,38.1,45.72,43.18,50.8,45.72,50.8,43.18,53.34
111.76,48.26,25.4,40.64,50.8,48.26,53.34,43.18,45.72,55.88
119.38,45.72,40.64,45.72,53.34,76.2,53.34,43.18,45.72,58.42
144.78,38.1,40.64,40.64,53.34,48.26,45.72,45.72,43.18,58.42
147.32,53.34,40.64,48.26,58.42,45.72,48.26,66.04,48.26,35.56
149.86,50.8,43.18,35.56,50.8,43.18,48.26,68.58,40.64,45.72
129.54,53.34,45.72,40.64,50.8,43.18,50.8,66.04,43.18,43.18
149.86,45.72,50.8,48.26,38.1,43.18,50.8,43.18,35.56,48.26
132.08,50.8,45.72,48.26,27.94,45.72,43.18,38.1,27.94,50.8
152.4,48.26,35.56,33.02,38.1,40.64,43.18,53.34,55.88,96.52
63.5,22.86,20.32,20.32,25.4,25.4,27.94,20.32,43.18,48.26
127,38.1,33.02,22.86,38.1,38.1,53.34,60.96,43.18,78.74
152.4,43.18,27.94,20.32,50.8,22.86,63.5,53.34,45.72,93.98
182.88,45.72,33.02,27.94,58.42,40.64,58.42,68.58,55.88,116.84
86.36,33.02,43.18,33.02,48.26,40.64,43.18,45.72,45.72,93.98
96.52,53.34,38.1,30.48,40.64,43.18,60.96,53.34,48.26,86.36
129.54,38.1,17.78,20.32,33.02,38.1,43.18,50.8,53.34,93.98
109.22,33.02,38.1,30.48,38.1,38.1,40.64,48.26,33.02,66.04
127,40.64,40.64,20.32,22.86,27.94,35.56,50.8,53.34,76.2
119.38,43.18,53.34,35.56,33.02,40.64,55.88,68.58,53.34,104.14
132.08,40.64,35.56,27.94,35.56,35.56,50.8,55.88,58.42,83.82
149.86,45.72,53.34,48.26,53.34,58.42,58.42,68.58,53.34,71.12
58.42,17.78,17.78,15.24,17.78,25.4,25.4,27.94,20.32,43.18
157.48,40.64,38.1,33.02,50.8,40.64,60.96,99.06,53.34,106.68
96.52,45.72,45.72,38.1,43.18,50.8,53.34,66.04,55.88,48.26
119.38,48.26,43.18,55.88,43.18,55.88,48.26,68.58,50.8,68.58
127,35.56,43.18,38.1,48.26,40.64,55.88,63.5,53.34,104.14
142.24,38.1,33.02,25.4,33.02,33.02,50.8,55.88,40.64,76.2
139.7,45.72,27.94,22.86,50.8,35.56,53.34,22.86,48.26,104.14
60.96,17.78,20.32,20.32,17.78,20.32,25.4,60.96,20.32,45.72
152.4,48.26,25.4,25.4,55.88,25.4,58.42,60.96,48.26,93.98
154.94,38.1,33.02,22.86,25.4,40.64,53.34,25.4,50.8,91.44
60.96,17.78,27.94,20.32,17.78,38.1,17.78,55.88,17.78,40.64
96.52,45.72,17.78,20.32,25.4,58.42,48.26,50.8,60.96,86.36
93.98,48.26,30.48,40.64,45.72,35.56,66.04,58.42,66.04,73.66
